Bezirk_Nr;Bezirk_Bez_kurz;Bezirk_Bez;Bezirk_Bez_lang;Anzahl_der_amtlichen_Antraege;Privathaushalte;Antraege_je_1000_Haushalte_2018;Antraege_ je_1000_Haushalte_2017
31;Mi;Mitte;Mitte;4460;220100;20;21
32;FK;Friedrh.-Kreuzb.;Friedrichshain-Kreuzberg;4403;169700;26;27
33;Pa;Pankow;Pankow;6358;222800;29;30
34;CW;Charlb.-Wilmd.;Charlottenburg-Wilmersdorf;3984;184500;22;22
35;Sp;Spandau;Spandau;4910;120200;41;39
36;SZ;Steglitz-Zehlend.;Steglitz-Zehlendorf;2976;153400;19;20
37;TS;Temph.-Schoeneb.;Tempelhof-Schoeneberg;4523;188100;24;25
38;Nk;Neukoelln;Neukoelln;4976;174000;29;29
39;TK;Treptow-Koepenick;Treptow-Koepenick;4000;139700;29;30
40;MH;Marzahn-Hellersd.;Marzahn-Hellersdorf;5657;136200;42;43
41;Li;Lichtenberg;Lichtenberg;5187;158600;33;33
42;Rdf;Reinickendorf;Reinickendorf;3807;135800;28;29
